SR_NO,sentence_list,np_list,vp_list,ner_rich,label
0,Beyond the hype A guide to understanding and successfully implementing artificial intelligence within your business IBM Services White Paper Beyond the hype A guide to understanding and successfully implementing artificial intelligence within your business 2 Beyond the hype A guide to understanding and successfully implementing artificial intelligence within your business Contents 2 Introduction 3 What is AI,4,2,1,TRAIN
1,5 How does an AI system learn,2,0,0,TRAIN
2,5 What has driven the development of AI,1,0,0,TRAIN
3,7 Where are we today with AI,1,0,0,TRAIN
4,8 What are the areas in which AI provides the most value today,2,1,1,TRAIN
5,8 What are some examples of successful implementations,0,0,0,TRAIN
6,9 Best practices to successfully implement AI within an organization 11 Pitfalls of AI implementation 14 Summary 15 IBM Services 18 About the authors 18 Acknowledgements 18 Appendix Introduction To implement AI within your organization successfully you need to understand what AI is where it currently stands what value can provide to businesses and how it can be successfully adopted,5,3,1,TRAIN
7,This white paper is written for business leaders looking for practical advice on how to leverage artificial intelligence AI for their organizations,5,2,1,TRAIN
8,The fact that AI has been hyped doesn’t take away from its capabilities as a real value driver,3,2,1,TRAIN
9,Heavy investments have been made in AI across multiple industries the Chinese government even made it one of their core sectors,2,1,1,TRAIN
10,And companies like IBM Microsoft Google and Amazon are leading the pack when it comes to utilizing data and AI,1,2,1,TRAIN
11,AI provides enormous amounts of value in multiple industries,2,1,1,TRAIN
12,Because of its high value potential many companies have been scrambling to implement AI within their organizations,2,1,1,TRAIN
13,And the projects when implemented properly have shown significant returns and improved competitive edge,1,3,1,TRAIN
14,If your company hasn’t started implementing AI it may lag behind its competitors so it’s critical to evaluate what AI can do for your organization,4,2,1,TRAIN
15,But this doesn’t mean you should hire data scientists or acquiring data science solutions without a clear strategy,4,1,1,TRAIN
16,Implementing AI should be a carefully thought out process,1,2,1,TRAIN
17,Otherwise it may turn out to be a costly failure,1,1,1,TRAIN
18,The authors of this paper want to provide you with the knowledge you need to evaluate what type of AI solutions you can implement to give your company a competitive advantage,6,3,1,TRAIN
19,IBM Services 3 What is AI,0,1,0,TRAIN
20,When people hear AI they often think about sentient robots and magic boxes,0,2,0,TRAIN
21,AI today is much more mundane and simple—but that doesn’t mean it’s not powerful,4,0,0,TRAIN
22,Another misconception is that high profile research projects can be applied directly to any business situation,4,1,1,TRAIN
23,AI done right can create extreme return on investments ROIs —for instance through automation or precise prediction,6,2,1,TRAIN
24,But it does take thought time and proper implementation,3,1,1,TRAIN
25,We have seen that success and value generated by AI projects is increased when there is a grounded understanding and expectation of what the technology can deliver from the C suite down,4,3,1,TRAIN
26,We are now at the brink of the fourth Industrial Revolution,1,0,0,TRAIN
27,AI is one of the biggest facets of this revolution and it will affect almost all sectors as did previous Industrial Revolutions 1 AI’s abilities have increased significantly since its inception in 1955 it can now detect patterns more accurately continuously and based on more data,2,3,1,TRAIN
28,Currently AI has surpassed human intelligence in some specific domains,1,1,1,TRAIN
29,These domains can be split in three categories general tasks formal tasks and expert tasks,0,1,0,TRAIN
30,General tasks could include visual recognition speech recognition natural language processing and translation,6,1,1,TRAIN
31,Formal tasks are related to games where some theorem and learning is involved,0,2,0,TRAIN
32,And expert tasks are those that would otherwise be executed by a domain expert,2,1,1,TRAIN
33,Think of tasks such as diagnosing disease and engineering 2 As already stated AI was first named in 1955 and was defined as the ability of machines to perform human like tasks,1,3,1,TRAIN
34,The term has gained popularity ever since its first mention,3,1,1,TRAIN
35,However there is still quite a bit of confusion about the difference between AI machine learning and deep learning—but simply stated AI encompasses the latter two,4,3,1,TRAIN
36,AI Artificial intelligence A program that can sense reason act and adapt,6,0,0,TRAIN
37,Machine learning Algorithms whose performance improve as they are exposed to more data over time,4,2,1,TRAIN
38,Deep learning Subset of machine learning in which multipayered neutral networks learn from vast amount of data,3,2,1,TRAIN
39,Figure 1 The distinction between AI Machine Learning and Deep Learning,2,0,0,TRAIN
40,“Artificial Intelligence AI is a science and a set of computational technologies that are inspired by—but typically operate quite differently from—the ways people use their nervous systems and bodies to sense learn reason and take action ”3 Lately there has been a big rise in the day to day use of machines powered by AI,8,5,1,TRAIN
41,These machines are wired using cross disciplinary approaches based on mathematics computer science statistics psychology and more 4 Virtual assistants are becoming more common most of the web shops predict your purchases many companies make use of chatbots in their customer service and many companies use algorithms to detect fraud,7,6,1,TRAIN
42,These are just a few of the examples of how AI is used every day,1,1,1,TRAIN
43,4 Beyond the hype A guide to understanding and successfully implementing artificial intelligence within your business Machine learning Machine learning is enabling a machine to learn from data without explicitly programming it with rules because it can learn from the data it’s given,7,6,1,TRAIN
44,In essence you could build an AI consisting of many different rules and it would also be able to be AI,1,2,1,TRAIN
45,But instead of programming all the rules you feed the algorithm data and let the algorithm adjust itself to improve the accuracy of the algorithm,4,3,1,TRAIN
46,Traditional science algorithms mainly process whereas machine learning is about applying an algorithm to fit a model to the data,5,1,1,TRAIN
47,Examples of machine learning algorithms that are used a lot and that you might be familiar with are decision trees random forest Bayesian networks K mean clustering neural networks regression artificial neural networks deep learning and reinforcement learning,7,1,1,TRAIN
48,Artificial neural networks and deep learning have recently become more common machine learning algorithms,1,3,1,TRAIN
49,Implementation examples would be predicting stock market prices or predicting whether a customer will churn from your company,6,1,1,TRAIN
50,Deep learning Deep learning DL is a relatively new set of methods that is changing machine learning in fundamental ways,2,3,1,TRAIN
51,DL isn’t an algorithm per se but rather a family of algorithms that implements deep networks many layers,2,0,0,TRAIN
52,These networks are so deep that new methods of computation such as graphics processing units GPUs are required to train them in addition to clusters of compute nodes,3,4,1,TRAIN
53,DL works very well with large amounts data and whenever a problem is too complex to understand and engineer features due to unstructured data for instance,3,1,1,TRAIN
54,DL almost always outperforms the other types of algorithms when it comes to image classification natural language processing and speech recognition,6,2,1,TRAIN
55,An example would be recognizing melanoma or conducting machine translation which was not possible using previous techniques,4,3,1,TRAIN
56,Figure 2 Deep neural network with five layers 5 Currently the larger the neural network and the more data that can be added to it the better the performance a neural network can provide,6,1,1,TRAIN
57,DL is very powerful but it has a couple of drawbacks,0,0,0,TRAIN
58,It’s almost impossible to determine why the system came to a certain conclusion,3,1,1,TRAIN
59,This is called the “black box” problem though there are now many available techniques that can increase insights in the inner workings of the DL model,4,2,1,TRAIN
60,Also deep learning often requires extensive training times a lot of data and specific hardware requirements and it’s not easy to acquire the specific skills needed to develop a new DL solution to a problem,7,3,1,TRAIN
